 


County Details for Precipitation (in)
Champaign County, IL

Date,BROADLANDS 0.1 SSW,CHAMPAIGN 0.3 ESE,CHAMPAIGN 0.3 NNW,CHAMPAIGN 0.6 NNE,CHAMPAIGN 0.7 SW,CHAMPAIGN 0.9 NE,CHAMPAIGN 1.2 S,CHAMPAIGN 1.3 SSW,CHAMPAIGN 1.5 SSE,CHAMPAIGN 1.7 SW,CHAMPAIGN 2.2 S,CHAMPAIGN 2.5 S,CHAMPAIGN 2.9 SW,CHAMPAIGN 3.0 N,CHAMPAIGN 3.5 SSE,CHAMPAIGN 3.6 W,CHAMPAIGN 3.7 WSW,CHAMPAIGN 3S,CHAMPAIGN 4.8 SSW,CHAMPAIGN 9 SW,CHAMPAIGN URBANA WILLARD AP,DEWEY 1.6 NNW,FISHER,HOMER 2.0 N,HOMER 2.0 NW,HOMER 2.0 WSW,HOMER 2.1 NNE,MAHOMET 1.2 S,MAHOMET 1.7 NNE,MAHOMET 5.5 NE,OGDEN,PHILO,PHILO 1.9 ENE,RANTOUL,RANTOUL CHANUTE AFB,SAVOY 0.6 SSE,SAVOY 0.9 N,SAVOY 2.6 WSW,SIDNEY 0.9 N,ST. JOSEPH 0.9 SSW,ST. JOSEPH 2.6 W,URBANA 0.1 SSE,URBANA 0.9 SSE,URBANA 2.3 SSE,URBANA 4.2 ESE,
2018-01-30,T,T,M,T,M,M,T,T,T,M,M,0.00,M,M,T,M,T,T,M,0.00,0.00,0.00,T,T,0.00,M,T,T,M,T,T,0.00,M,0.00,0.00,T,T,0.00,T,T,T,T,T,M,T,
2018-01-31,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,M,0.00,
2018-02-01,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-02-02,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,M,M,0.00,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-02-03,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-02-04,0.00,0.02,M,0.04,M,M,0.04,0.04,0.05,M,M,M,M,M,0.06,M,0.03,0.04,M,0.03,0.03,0.01,T,0.06,M,M,0.03,0.06,0.03,0.02,0.07,0.03,M,0.02,0.02,0.04,0.04,M,0.03,0.05,T,0.03,0.04,0.04,0.03,
2018-02-05,0.09,0.06,M,0.05,M,M,0.03,0.03,0.04,M,M,M,M,M,0.06,M,0.02,0.01,M,0.10,0.09,0.02,T,0.02,M,M,0.02,0.02,0.02,0.04,0.04,0.02,M,0.00,0.00,0.07,0.01,M,0.04,0.03,T,0.04,0.07,0.06,0.03,
2018-02-06,0.10,0.12,M,0.12,0.12,M,0.10,0.12,0.11,M,M,M,M,M,0.10,M,0.10,0.11,M,0.00,0.00,0.19,0.09,0.15,0.13,M,0.14,0.12,0.12,0.14,0.12,0.10,M,0.00,0.00,0.11,0.11,M,0.13,0.13,0.12,0.10,0.12,0.12,0.11,
2018-02-07,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.01,T,0.00,0.00,T,0.00,M,T,0.00,0.00,0.00,0.00,0.00,M,0.12,0.12,T,0.00,0.10,0.00,0.00,0.00,0.00,0.00,T,0.00,
2018-02-08,0.00,0.00,M,0.00,0.00,M,0.00,T,0.00,M,M,M,M,M,0.00,M,T,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,T,0.00,T,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,T,0.00,0.00,M,0.00,
2018-02-09,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.01,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,
2018-02-10,0.00,T,M,0.00,0.01,M,0.01,T,T,M,M,M,M,M,0.01,M,0.00,T,M,0.04,0.01,T,T,T,T,M,T,T,T,0.02,0.00,T,M,0.00,0.00,T,T,T,0.00,0.01,T,0.02,0.02,T,0.01,
2018-02-11,0.02,0.08,M,0.09,0.10,M,0.08,M,0.13,M,M,M,M,M,0.08,M,0.06,0.08,M,0.04,0.04,0.28,0.06,0.10,0.07,M,0.09,0.23,0.22,0.27,0.05,0.05,M,0.18,0.18,0.06,0.01,0.04,0.06,0.07,0.05,0.10,0.12,0.12,0.09,
2018-02-12,0.04,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.03,0.00,0.00,0.00,T,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.08,0.08,T,T,0.00,0.00,0.00,0.00,T,0.00,0.00,0.00,
2018-02-13,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,0.00,M,M,0.00,M,0.00,0.00,M,0.03,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,
2018-02-14,0.00,0.00,M,0.00,T,M,0.00,T,M,M,M,M,M,M,0.00,M,0.00,0.00,M,0.02,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,T,0.00,T,0.00,0.00,T,M,T,0.00,0.00,
2018-02-15,0.03,0.04,M,T,T,M,0.15,0.00,M,M,M,M,M,M,0.05,M,M,0.06,M,0.15,0.14,0.00,0.00,0.01,0.02,M,0.01,T,T,0.02,T,T,M,0.00,0.00,T,0.07,0.04,0.01,0.08,0.01,0.10,T,M,0.01,
2018-02-16,0.21,0.04,M,0.04,0.07,M,0.04,0.15,M,M,M,0.05,M,M,0.03,M,M,0.02,M,0.02,0.00,0.01,0.00,0.15,0.13,M,0.13,0.03,0.02,T,0.13,T,M,0.01,0.01,0.07,0.02,0.04,0.13,0.03,0.09,0.02,0.09,M,0.13,
2018-02-17,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,0.00,M,M,0.00,M,M,0.00,M,0.08,0.04,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,T,M,0.00,0.00,T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,
2018-02-18,0.08,0.08,M,0.03,0.06,M,0.09,0.08,0.08,M,M,0.06,M,M,0.01,M,M,0.06,M,0.02,0.00,0.04,0.05,0.07,0.07,M,0.06,0.08,0.11,0.10,0.07,0.05,M,0.03,0.03,0.07,0.06,T,0.06,0.07,0.06,0.09,0.06,0.08,0.06,
2018-02-19,0.00,0.87,0.67,0.03,M,M,0.77,0.39,0.07,M,M,0.79,M,M,0.80,M,M,0.95,M,1.69,1.71,0.64,0.60,0.54,1.01,M,0.75,0.30,0.39,M,0.20,0.98,M,0.06,0.06,M,1.23,M,0.00,1.06,0.98,0.54,0.26,1.09,0.38,
2018-02-20,1.15,0.94,0.89,1.84,M,M,1.18,1.50,1.92,M,M,1.06,M,M,1.20,M,1.14,1.14,M,3.19,2.97,1.20,1.79,1.10,1.75,M,0.88,1.36,1.48,M,1.68,0.72,M,0.09,0.09,M,M,M,1.20,1.19,0.63,1.92,1.84,1.21,1.56,
2018-02-21,2.21,3.58,3.56,3.65,3.73,3.40,3.48,3.65,3.56,M,M,3.24,M,M,3.75,3.30,3.69,3.18,M,0.39,0.43,2.41,2.41,4.26,3.31,2.84,4.11,2.67,2.65,M,4.77,3.63,M,0.86,0.86,M,M,3.07,4.54,3.99,2.96,3.53,3.76,3.56,3.82,
2018-02-22,0.68,0.04,0.14,0.06,0.08,0.09,0.05,0.03,0.07,M,M,0.07,M,M,0.08,0.06,0.06,0.06,M,0.04,0.05,0.07,0.02,0.06,0.05,0.09,0.05,0.05,0.06,M,0.04,0.02,M,0.05,0.05,M,0.03,M,0.03,0.04,0.04,0.05,0.06,0.09,0.05,
